0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.036736547439126070e+03 3.285736884153901693e-02 1.650422734272977963e-06 2.543481943190009975e+00
3.000000000000000000e+00 9.698329656958439955e+02 4.469771759966873620e-02 3.301282686464846739e-06 2.966329949384202802e+00
4.000000000000000000e+00 9.089527429891811607e+02 4.115243786554945160e-02 5.503105788318941908e-06 2.860186611346009933e+00
5.000000000000000000e+00 8.636142454344258113e+02 2.925510730803867684e-02 8.256464951367365048e-06 2.493235221257876333e+00
6.000000000000000000e+00 8.321190834287097005e+02 1.724593397538840694e-02 1.156206770879972868e-05 2.048641661024753535e+00
7.000000000000000000e+00 8.114064652611968995e+02 9.371013171180395465e-03 1.542075057277797316e-05 1.632167428660630248e+00
8.000000000000000000e+00 7.982122786232871476e+02 5.703556614237546493e-03 1.983347241166529939e-05 1.294778514765303701e+00
9.000000000000000000e+00 7.908672915573125692e+02 4.404263395208646466e-03 2.480130684031764865e-05 1.051717034767426950e+00
1.000000000000000000e+01 7.878352581561441639e+02 3.824721939129867732e-03 3.032543367920346165e-05 9.021751531486686959e-01
1.100000000000000000e+01 7.876989084960785021e+02 3.288272936210233973e-03 3.640712972376085272e-05 8.328766447872957279e-01
1.200000000000000000e+01 7.910504996132411861e+02 2.819660144026574829e-03 4.304775862526930301e-05 8.264554326615214386e-01
1.300000000000000000e+01 7.959110248047912819e+02 2.582840194911389421e-03 5.024876021987057932e-05 8.575048494815209477e-01
1.400000000000000000e+01 8.020874934069049687e+02 2.599646794231096417e-03 5.801163924846089139e-05 9.046101349168934602e-01
1.500000000000000000e+01 8.085545442927840440e+02 2.768956731569636402e-03 6.633795367268876446e-05 9.597512811623858386e-01
1.600000000000000000e+01 8.169255184542166717e+02 2.999075773305577477e-03 7.522930257024675136e-05 1.019832019465041428e+00
1.700000000000000000e+01 8.270537507113770062e+02 3.312963187728968154e-03 8.468731382950507797e-05 1.079952861163214539e+00
1.800000000000000000e+01 8.378445387755954243e+02 3.758121233320254728e-03 9.471363171892879438e-05 1.137810847407695780e+00
1.900000000000000000e+01 8.500453858066540533e+02 4.372226194864897546e-03 1.053099042229025447e-04 1.197282564069183541e+00
2.000000000000000000e+01 8.620229116117936883e+02 5.163436276361348283e-03 1.164777708362432546e-04 1.254620678809036605e+00
