0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.712323691634420584e+02 3.198389645424219718e-02 1.686780538670066390e-06 2.602887514077274922e+00
3.000000000000000000e+00 9.200431229561966120e+02 4.412268194025122797e-02 3.374005177374436258e-06 2.999433127407799216e+00
4.000000000000000000e+00 8.702149976762493679e+02 4.138394337611982221e-02 5.624325199452578299e-06 2.883030816751959158e+00
5.000000000000000000e+00 8.325965465941479806e+02 3.003219362031937442e-02 8.438322598134857154e-06 2.513690993957685915e+00
6.000000000000000000e+00 8.065576568006189291e+02 1.804028702485992522e-02 1.181671617701567816e-05 2.068592578713169150e+00
7.000000000000000000e+00 7.897650875901565541e+02 9.859057567375069733e-03 1.576035585420128136e-05 1.650483811336923567e+00
8.000000000000000000e+00 7.794912023305639650e+02 5.886765402662161827e-03 2.027021598168125057e-05 1.310553868392570154e+00
9.000000000000000000e+00 7.744031602515578925e+02 4.451984608596350375e-03 2.534738764305440148e-05 1.062744645899138529e+00
1.000000000000000000e+01 7.731467610757173361e+02 3.874657607417775467e-03 3.099307005193257023e-05 9.065550648338013273e-01
1.100000000000000000e+01 7.744188786523326371e+02 3.365517318880926166e-03 3.720856121208698873e-05 8.305114992238554761e-01
1.200000000000000000e+01 7.788534305940013382e+02 2.883555312742915652e-03 4.399524771559823878e-05 8.184172861245704311e-01
1.300000000000000000e+01 7.845722849872008737e+02 2.602300583783432718e-03 5.135459394388469895e-05 8.470474713739897243e-01
1.400000000000000000e+01 7.914627316515916391e+02 2.579093740398322263e-03 5.928813068204181298e-05 8.932646757965055917e-01
1.500000000000000000e+01 7.985021500960954199e+02 2.733418338217525213e-03 6.779744330243402865e-05 9.467017085167889201e-01
1.600000000000000000e+01 8.073584706729333220e+02 2.956815769354898590e-03 7.688415953949078081e-05 1.005694064634469642e+00
1.700000000000000000e+01 8.178816735534611553e+02 3.252677233328289241e-03 8.654993703943365010e-05 1.065510616094884844e+00
1.800000000000000000e+01 8.289636445365397321e+02 3.656072208935602988e-03 9.679645079335438623e-05 1.123385633838299702e+00
1.900000000000000000e+01 8.413803625389372201e+02 4.214408154355327348e-03 1.076253803233451781e-04 1.182608458220737457e+00
2.000000000000000000e+01 8.535300802242685450e+02 4.948767856886361095e-03 1.190383973279578151e-04 1.238884186565636147e+00
